tank_1,tank_2,tank_3,tank_4,kan_u1,kan_u2
12.496408274443137,13.155448381679479,4.807488262690993,4.780663833655671,0.0,0.0
12.495956647974365,13.155106732908685,4.806745184697486,4.78015117817497,0.0,0.0
12.495510207305236,13.154759247134702,4.805999355242259,4.779645901283745,0.0,0.0
12.495058535865203,13.154416379197738,4.805261101809266,4.7791293787344475,0.0,0.0
12.494606724649781,13.154072243532628,4.804521153903826,4.778611181047721,0.0,0.0
12.494159724494152,13.153732231506357,4.8037814624717035,4.778091762480022,0.0,0.0
12.493701345187342,13.153392643326407,4.803045314335365,4.777570410033421,0.0,0.0
12.493246356399283,13.153051544222167,4.802311156254746,4.777049932315695,0.0,0.0
12.492790929630335,13.152713218130717,4.801574594959962,4.776530928926551,0.0,0.0
12.49233711188424,13.152373886512239,4.800836589522666,4.776011628696405,0.0,0.0
12.49188903132988,13.1520295919668,4.800098980490783,4.775497816270612,0.0,0.0
12.491435285559598,13.151681365454786,4.799359830490098,4.774976021881203,0.0,0.0
12.490984465359038,13.151340449790993,4.798617213818243,4.774458887051325,0.0,0.0
12.490531675681003,13.151001629966174,4.797877608959281,4.773945289979227,0.0,0.0
12.490079089562611,13.15065791746899,4.797139011772567,4.773425983638309,0.0,0.0
12.48962489080752,13.15032064888236,4.79639461352712,4.772911800738049,0.0,0.0
12.489175453365016,13.149975944985197,4.795656186446778,4.772394946719423,0.0,0.0
12.48872101472623,13.149634683312565,4.794920904575317,4.77187959522444,0.0,0.0
12.488267467208363,13.14929170787217,4.794178329682618,4.771359196898146,0.0,0.0
12.487814332568808,13.148950326455429,4.793436696480785,4.77084172246621,0.0,0.0
12.487356272811274,13.148611395791335,4.79269105625577,4.770324260996406,0.0,0.0
12.486904923706849,13.148273054103795,4.791950310759041,4.769806404574737,0.0,0.0
12.48645339984808,13.147931519663395,4.791207918189167,4.769290495764736,0.0,0.0
12.485996632293661,13.14758854936433,4.790469935182703,4.768776390879995,0.0,0.0
12.485545725681563,13.14725130331019,4.7897348204705565,4.768258521887377,0.0,0.0
12.485093248770356,13.146913661934956,4.788998140271742,4.7677400904305225,0.0,0.0
12.484638649875306,13.146575838277275,4.788259712344183,4.7672247711697,0.0,0.0
12.484182110638228,13.14623112814734,4.787522705702232,4.766705937101885,0.0,0.0
12.4837318151256,13.145893366520445,4.786782450258031,4.766196486609788,0.0,0.0
12.483280658472355,13.145551496220389,4.786042492294479,4.7656779933126225,0.0,0.0
12.482823241706752,13.145205504522561,4.785309168909448,4.7651593587093215,0.0,0.0
12.482369028067177,13.14486555492912,4.784574376169471,4.764644323713588,0.0,0.0
12.481914976584688,13.144519229036126,4.783836974118501,4.7641263698490555,0.0,0.0
12.481455226826348,13.144174728973033,4.783099005938061,4.7636079398430615,0.0,0.0
12.48100151022808,13.143833506827978,4.782369037279815,4.763092975545021,0.0,0.0
12.480549231743264,13.143486355519583,4.781631973339061,4.76257263601871,0.0,0.0
12.480096188268151,13.143146677602015,4.780895356247037,4.762058887378304,0.0,0.0
12.479646371727549,13.142808370064225,4.780157580132728,4.76154271534571,0.0,0.0
12.47919995316603,13.142465700807485,4.779422828496503,4.761023845445113,0.0,0.0
12.47874873447839,13.14212767180127,4.778685639267466,4.7605084692723,0.0,0.0
