h1,h2,h3,h4,u1,u2
12.358479958984235,12.625588316128498,1.6294435756406667,1.3378954473304492,0.0,0.0
12.333332309948197,12.606679445097974,1.6151062060047867,1.3287693422127398,0.0,0.0
12.308161638243922,12.587760396466269,1.600832052533367,1.3196744160295841,0.0,0.0
12.28296802110312,12.568831197122712,1.5866211158463654,1.3106106689641968,0.0,0.0
12.257751535867138,12.549891873986507,1.5724733965692865,1.3015781012010588,0.0,0.0
12.232512259987644,12.53094245400685,1.5583888953332559,1.2925767129259298,0.0,0.0
12.207250271027316,12.511982964163058,1.5443676127750967,1.2836065043258622,0.0,0.0
12.181965646660537,12.493013431464705,1.5304095495374075,1.2746674755892144,0.0,0.0
12.156658464674084,12.474033882951737,1.5165147062686406,1.2657596269056648,0.0,0.0
12.13132880296784,12.455044345694608,1.5026830836231828,1.2568829584662249,0.0,0.0
