time_sec,cost
20.700000000000003,43.24076885736388
20.8,43.929730337126884
20.900000000000002,44.62285862026085
21.0,45.319843415785854
21.1,46.02037327564991
21.200000000000003,46.724135767666205
21.3,47.43081765041485
21.400000000000002,48.140105049834894
21.5,48.85168363723855
21.6,49.56523880848589
21.700000000000003,50.2804558640604
21.8,50.997020189791954
21.900000000000002,51.71461743798055
22.0,52.43293370867703
22.1,53.15165573088338
22.200000000000003,53.87047104344193
22.3,54.58906817538707
22.400000000000002,55.30713682553884
22.5,56.02436804112488
22.6,56.740454395221775
22.700000000000003,57.45509016281447
22.8,58.16797149527625
22.900000000000002,58.878796593080054
23.0,59.58726587655761
23.1,60.29308215452781
23.200000000000003,60.9959507906239
23.3,61.69557986715385
23.400000000000002,62.39168034633582
23.5,63.08396622875565
23.6,63.77215470890107
23.700000000000003,64.45596632763267
23.8,65.13512512145802
23.900000000000002,65.80935876848253
24.0,66.47839873091601
24.1,67.14198039402073
24.200000000000003,67.79984320139248
24.3,68.45173078647316
24.400000000000002,69.09739110019939
24.5,69.73657653469668
24.6,70.36904404293664
24.700000000000003,70.99455525427895
24.8,71.6128765858281
24.900000000000002,72.22377934953712
25.0,72.82703985500095
25.1,73.42243950788398
25.200000000000003,74.00976490393448
25.3,74.58880791854233
25.400000000000002,75.15936579180506
25.5,75.72124120906807
25.6,76.2742423769153
25.700000000000003,76.81818309458716
25.8,77.35288282081258
25.900000000000002,77.87816673604256
26.0,78.39386580008022
26.1,78.89981680510695
26.200000000000003,79.39586242410914
26.3,79.88185125471223
26.400000000000002,80.35763785843835
26.5,80.82308279540263
26.6,81.27805265447236
26.700000000000003,81.72242007891357
26.8,82.15606378755666
26.900000000000002,82.57886859151552
27.0,82.99072540649775
27.1,83.39153126074831
27.200000000000003,83.78118929867253
27.3,84.15960878018771
27.400000000000002,84.52670507585582
27.5,84.88239965785239
27.6,85.22662008683191
27.700000000000003,85.55929999475111
27.8,85.88037906371464
27.900000000000002,86.18980300091171
28.0,86.48752350971273
28.1,86.77349825700064
28.200000000000003,87.04769083680998
28.3,87.31007073035273
28.400000000000002,87.56061326251044
28.5,87.7992995548734
28.6,88.02611647541119
28.700000000000003,88.24105658485993
28.8,88.44411807991277
28.900000000000002,88.63530473330272
29.0,88.81462583086729
29.1,88.9820961056868
29.200000000000003,89.13773566938791
29.3,89.28156994070744
29.400000000000002,89.41362957140839
29.5,89.5339503696473
29.6,89.6425732208847
29.700000000000003,89.73954400643903
29.8,89.82491351977899
29.900000000000002,89.8987373806534
30.0,89.96107594715517
30.1,90.01199422581871
30.200000000000003,90.05156177984871
30.3,90.07985263557812
30.400000000000002,90.09694518725468
30.5,90.10292210025263
30.6,90.09787021280876
30.700000000000003,90.08188043637882
30.8,90.05504765471294
30.900000000000002,90.01747062174529
31.0,89.96925185839385
31.1,89.91049754836651
31.200000000000003,89.84131743306676
31.3,89.76182470569285
31.400000000000002,89.67213590462401
31.5,89.57237080618367
31.6,89.46265231687163
31.700000000000003,89.34310636515477
31.8,89.21386179290313
31.900000000000002,89.07505024656034
32.0,88.92680606813252
32.1,88.7692661860818
32.2,88.60257000620516
32.300000000000004,88.42685930258271
32.4,88.24227810867373
32.5,88.0489726086389
32.6,87.84709102896727
32.7,87.63678353048104
32.800000000000004,87.41820210079378
32.9,87.19150044729201
33.0,86.95683389071232
33.1,86.71435925938019
33.2,86.46423478417942
33.300000000000004,86.2066199943144
33.4,85.94167561393043
33.5,85.66956345965149
33.6,85.39044633909533
33.7,85.10448795042232
33.800000000000004,84.81185278297474
33.9,84.51270601905784
34.0,84.20721343691649
34.1,83.89554131495392
34.2,83.57785633724332
34.300000000000004,83.25432550037453
34.4,82.92511602168203
34.5,82.59039524889403
34.6,82.25033057124307
34.7,81.9050893320759
34.800000000000004,81.5548387429975
34.9,81.1997457995835
35.0,80.83997719869338
35.1,80.47569925741276
35.2,80.10707783365457
35.300000000000004,79.73427824844343
35.4,79.3574652099087
35.5,78.97680273900743
35.6,78.59245409699876
35.7,78.20458171468722
35.800000000000004,77.81334712345289
35.9,77.4189108880817
36.0,77.02143254141146
36.1,76.62107052080289
36.2,76.21798210644666
